player_id,name,email,join_date
1,Player1,player1@game.com,2025-03-17
2,Player2,player2@game.com,2025-03-16
3,Player3,player3@game.com,2025-03-15
4,Player4,player4@game.com,2025-03-14
5,Player5,player5@game.com,2025-03-13
6,Player6,player6@game.com,2025-03-12
7,Player7,player7@game.com,2025-03-11
8,Player8,player8@game.com,2025-03-10
9,Player9,player9@game.com,2025-03-09
10,Player10,player10@game.com,2025-03-08
11,Player11,player11@game.com,2025-03-07
12,Player12,player12@game.com,2025-03-06
13,Player13,player13@game.com,2025-03-05
14,Player14,player14@game.com,2025-03-04
15,Player15,player15@game.com,2025-03-03
16,Player16,player16@game.com,2025-03-02
17,Player17,player17@game.com,2025-03-01
18,Player18,player18@game.com,2025-02-28
19,Player19,player19@game.com,2025-02-27
20,Player20,player20@game.com,2025-02-26
